experiment_id,trial,machine,win,predicted_machine,prob_machine_0,prob_machine_1,prob_machine_2,prob_machine_3
1744221378,0,2,True,0,0.25,0.25,0.25,0.25
1744221378,1,3,False,2,0.0,0.0,1.0,0.0
1744221378,2,2,False,2,0.0,0.0,0.5,0.5
1744221378,3,0,False,2,0.0,0.0,0.667,0.333
1744221378,4,2,False,2,0.25,0.0,0.5,0.25
1744221378,5,1,False,2,0.2,0.0,0.6,0.2
1744221378,6,3,True,2,0.167,0.167,0.5,0.167
1744221378,7,3,False,2,0.143,0.143,0.429,0.286
1744221378,8,3,False,2,0.125,0.125,0.375,0.375
1744221378,9,0,True,3,0.111,0.111,0.333,0.444
1744221378,10,0,False,3,0.2,0.1,0.3,0.4
1744221378,11,1,False,3,0.273,0.091,0.273,0.364
1744221378,12,3,False,3,0.25,0.167,0.25,0.333
1744221378,13,1,False,3,0.231,0.154,0.231,0.385
1744221378,14,1,False,3,0.214,0.214,0.214,0.357
1744221378,15,2,True,3,0.2,0.267,0.2,0.333
1744221378,16,2,False,3,0.188,0.25,0.25,0.312
1744221378,17,0,True,2,0.176,0.235,0.294,0.294
1744221378,18,0,True,2,0.222,0.222,0.278,0.278
1744221378,19,0,False,0,0.263,0.211,0.263,0.263
1744221378,20,1,True,0,0.3,0.2,0.25,0.25
1744221378,21,2,True,0,0.286,0.238,0.238,0.238
1744221378,22,1,False,0,0.273,0.227,0.273,0.227
1744221378,23,2,True,0,0.261,0.261,0.261,0.217
1744221378,24,2,True,2,0.25,0.25,0.292,0.208
1744221378,25,2,False,2,0.24,0.24,0.32,0.2
1744221378,26,1,True,2,0.231,0.231,0.346,0.192
1744221378,27,2,True,2,0.222,0.259,0.333,0.185
1744221378,28,0,False,2,0.214,0.25,0.357,0.179
1744221378,29,2,True,2,0.241,0.241,0.345,0.172
,,,,,,,,
,Accuracy,0.2667,,,,,,
