experiment_id,trial,machine,win,predicted_machine,prob_machine_0,prob_machine_1,prob_machine_2,prob_machine_3
1743726257,0,1,True,0,0.25,0.25,0.25,0.25
1743726257,1,1,False,1,0.0,1.0,0.0,0.0
1743726257,2,2,True,1,0.0,1.0,0.0,0.0
1743726257,3,0,False,1,0.0,0.667,0.333,0.0
1743726257,4,1,False,1,0.25,0.5,0.25,0.0
1743726257,5,2,True,1,0.2,0.6,0.2,0.0
1743726257,6,2,False,1,0.167,0.5,0.333,0.0
1743726257,7,2,False,1,0.143,0.429,0.429,0.0
1743726257,8,1,True,2,0.125,0.375,0.5,0.0
1743726257,9,2,False,1,0.111,0.444,0.444,0.0
1743726257,10,3,False,2,0.1,0.4,0.5,0.0
1743726257,11,2,True,2,0.091,0.364,0.455,0.091
1743726257,12,2,False,2,0.083,0.333,0.5,0.083
1743726257,13,1,True,2,0.077,0.308,0.538,0.077
1743726257,14,0,False,2,0.071,0.357,0.5,0.071
1743726257,15,2,False,2,0.133,0.333,0.467,0.067
1743726257,16,1,False,2,0.125,0.312,0.5,0.062
1743726257,17,2,True,2,0.118,0.353,0.471,0.059
1743726257,18,0,True,2,0.111,0.333,0.5,0.056
1743726257,19,2,False,2,0.158,0.316,0.474,0.053
1743726257,20,2,True,2,0.15,0.3,0.5,0.05
1743726257,21,1,True,2,0.143,0.286,0.524,0.048
1743726257,22,0,False,2,0.136,0.318,0.5,0.045
1743726257,23,2,True,2,0.174,0.304,0.478,0.043
1743726257,24,1,True,2,0.167,0.292,0.5,0.042
1743726257,25,2,False,2,0.16,0.32,0.48,0.04
1743726257,26,1,False,2,0.154,0.308,0.5,0.038
1743726257,27,2,True,2,0.148,0.333,0.481,0.037
1743726257,28,0,False,2,0.143,0.321,0.5,0.036
1743726257,29,2,True,2,0.172,0.31,0.483,0.034
,,,,,,,,
,Accuracy,0.4,,,,,,
