experiment_id,trial,machine,win,predicted_machine,prob_machine_0,prob_machine_1,prob_machine_2,prob_machine_3
1744222100,0,0,True,0,0.25,0.25,0.25,0.25
1744222100,1,0,True,0,1.0,0.0,0.0,0.0
1744222100,2,2,True,0,1.0,0.0,0.0,0.0
1744222100,3,3,True,0,0.667,0.0,0.333,0.0
1744222100,4,3,False,0,0.5,0.0,0.25,0.25
1744222100,5,3,True,0,0.4,0.0,0.2,0.4
1744222100,6,3,True,3,0.333,0.0,0.167,0.5
1744222100,7,1,False,3,0.286,0.0,0.143,0.571
1744222100,8,1,False,3,0.25,0.125,0.125,0.5
1744222100,9,1,True,3,0.222,0.222,0.111,0.444
1744222100,10,1,True,3,0.2,0.3,0.1,0.4
1744222100,11,1,False,1,0.182,0.364,0.091,0.364
1744222100,12,1,False,1,0.167,0.417,0.083,0.333
1744222100,13,1,False,1,0.154,0.462,0.077,0.308
1744222100,14,1,True,1,0.143,0.5,0.071,0.286
1744222100,15,2,False,1,0.133,0.533,0.067,0.267
1744222100,16,0,True,1,0.125,0.5,0.125,0.25
1744222100,17,3,False,1,0.176,0.471,0.118,0.235
1744222100,18,1,True,1,0.167,0.444,0.111,0.278
1744222100,19,2,False,1,0.158,0.474,0.105,0.263
1744222100,20,0,True,1,0.15,0.45,0.15,0.25
1744222100,21,3,False,1,0.19,0.429,0.143,0.238
1744222100,22,0,True,1,0.182,0.409,0.136,0.273
1744222100,23,2,True,1,0.217,0.391,0.13,0.261
1744222100,24,0,False,1,0.208,0.375,0.167,0.25
1744222100,25,0,True,1,0.24,0.36,0.16,0.24
1744222100,26,0,False,1,0.269,0.346,0.154,0.231
1744222100,27,1,False,1,0.296,0.333,0.148,0.222
1744222100,28,1,True,1,0.286,0.357,0.143,0.214
1744222100,29,3,False,1,0.276,0.379,0.138,0.207
,,,,,,,,
,Accuracy,0.3333,,,,,,
