experiment_id,trial,machine,win,predicted_machine,prob_machine_0,prob_machine_1,prob_machine_2,prob_machine_3
1743726019,0,2,False,0,0.25,0.25,0.25,0.25
1743726019,1,0,True,2,0.0,0.0,1.0,0.0
1743726019,2,3,True,0,0.5,0.0,0.5,0.0
1743726019,3,2,False,0,0.333,0.0,0.333,0.333
1743726019,4,2,False,2,0.25,0.0,0.5,0.25
1743726019,5,0,True,2,0.2,0.0,0.6,0.2
1743726019,6,1,True,2,0.333,0.0,0.5,0.167
1743726019,7,3,False,2,0.286,0.143,0.429,0.143
1743726019,8,1,False,2,0.25,0.125,0.375,0.25
1743726019,9,0,True,2,0.222,0.222,0.333,0.222
1743726019,10,1,False,0,0.3,0.2,0.3,0.2
1743726019,11,3,False,0,0.273,0.273,0.273,0.182
1743726019,12,1,True,0,0.25,0.25,0.25,0.25
1743726019,13,3,False,1,0.231,0.308,0.231,0.231
1743726019,14,2,True,1,0.214,0.286,0.214,0.286
1743726019,15,3,False,1,0.2,0.267,0.267,0.267
1743726019,16,0,True,3,0.188,0.25,0.25,0.312
1743726019,17,2,False,3,0.235,0.235,0.235,0.294
1743726019,18,1,True,2,0.222,0.222,0.278,0.278
1743726019,19,2,True,1,0.211,0.263,0.263,0.263
1743726019,20,0,False,2,0.2,0.25,0.3,0.25
1743726019,21,1,False,2,0.238,0.238,0.286,0.238
1743726019,22,1,False,1,0.227,0.273,0.273,0.227
1743726019,23,1,True,1,0.217,0.304,0.261,0.217
1743726019,24,0,False,1,0.208,0.333,0.25,0.208
1743726019,25,2,True,1,0.24,0.32,0.24,0.2
1743726019,26,1,True,1,0.231,0.308,0.269,0.192
1743726019,27,0,False,1,0.222,0.333,0.259,0.185
1743726019,28,2,False,1,0.25,0.321,0.25,0.179
1743726019,29,3,True,1,0.241,0.31,0.276,0.172
,,,,,,,,
,Accuracy,0.1333,,,,,,
