experiment_id,trial,machine,win,predicted_machine,prob_machine_0,prob_machine_1,prob_machine_2,prob_machine_3
1743725650,0,2,True,0,0.25,0.25,0.25,0.25
1743725650,1,2,False,2,0.0,0.0,1.0,0.0
1743725650,2,2,False,2,0.0,0.0,1.0,0.0
1743725650,3,2,False,2,0.0,0.0,1.0,0.0
1743725650,4,1,False,2,0.0,0.0,1.0,0.0
1743725650,5,0,False,2,0.0,0.2,0.8,0.0
1743725650,6,3,False,2,0.167,0.167,0.667,0.0
1743725650,7,2,False,2,0.143,0.143,0.571,0.143
1743725650,8,3,False,2,0.125,0.125,0.625,0.125
1743725650,9,0,True,2,0.111,0.111,0.556,0.222
1743725650,10,1,True,2,0.2,0.1,0.5,0.2
1743725650,11,2,False,2,0.182,0.182,0.455,0.182
1743725650,12,3,True,2,0.167,0.167,0.5,0.167
1743725650,13,0,True,2,0.154,0.154,0.462,0.231
1743725650,14,1,True,2,0.214,0.143,0.429,0.214
1743725650,15,1,False,2,0.2,0.2,0.4,0.2
1743725650,16,3,True,2,0.188,0.25,0.375,0.188
1743725650,17,0,False,2,0.176,0.235,0.353,0.235
1743725650,18,0,True,2,0.222,0.222,0.333,0.222
1743725650,19,1,True,2,0.263,0.211,0.316,0.211
1743725650,20,2,False,2,0.25,0.25,0.3,0.2
1743725650,21,3,False,2,0.238,0.238,0.333,0.19
1743725650,22,0,False,2,0.227,0.227,0.318,0.227
1743725650,23,0,True,2,0.261,0.217,0.304,0.217
1743725650,24,2,False,0,0.292,0.208,0.292,0.208
1743725650,25,2,True,2,0.28,0.2,0.32,0.2
1743725650,26,3,True,2,0.269,0.192,0.346,0.192
1743725650,27,0,True,2,0.259,0.185,0.333,0.222
1743725650,28,1,True,2,0.286,0.179,0.321,0.214
1743725650,29,2,True,2,0.276,0.207,0.31,0.207
,,,,,,,,
,Accuracy,0.2667,,,,,,
