Trial Number,Frame,Machine ID,Reward,Prediction
2,1620,4,False,
3,4300,1,False,
4,6840,2,False,
5,9220,4,False,
6,11800,1,False,
7,14200,2,False,
8,16740,3,True,
9,19260,2,False,
10,22340,4,True,
11,25280,1,False,
12,28060,3,True,
13,31180,1,False,
14,34040,2,False,
15,36680,3,False,
16,38040,4,False,
17,39800,1,False,
18,41320,2,True,
19,42940,3,False,
20,44580,2,False,
21,46280,3,False,
22,48320,4,False,
23,50380,1,True,
24,52260,2,True,
25,54840,4,True,
26,57580,2,False,
27,60400,3,False,
28,63280,2,True,
29,66180,1,False,
30,69020,3,False,
31,72040,2,False,
32,74880,3,True,
33,77720,4,False,
34,80840,2,True,
35,85220,4,False,
36,88740,1,True,
37,91920,3,False,
