Trial Number,Frame Number,Rigid Body ID,Position X,Position Y,Position Z,Orientation W,Orientation X,Orientation Y,Orientation Z
1,100,3,1.1218560934066772,1.1500309705734253,0.994468092918396,-0.6853847503662109,-0.7014833688735962,0.16054175794124603,-0.11133395880460739
1,200,3,1.1243542432785034,1.1613705158233643,1.088050365447998,-0.6948919296264648,-0.6476803421974182,-0.06781972944736481,-0.30501788854599
1,300,3,0.9496750831604004,1.1402859687805176,0.9921049475669861,-0.6599306464195251,-0.7294600009918213,0.13684827089309692,-0.1168428286910057
1,400,3,0.2761501371860504,1.1484860181808472,0.870754599571228,-0.6603082418441772,-0.7222509384155273,0.1463993340730667,-0.1446162611246109
2,1844,3,0.48542529344558716,1.1763195991516113,0.8220491409301758,-0.2118563950061798,-0.45474115014076233,0.6485571265220642,0.5724518895149231
2,1944,3,0.741247296333313,1.1729952096939087,1.117329716682434,-0.5324185490608215,-0.7301198840141296,0.4107670783996582,0.12134987860918045
2,2044,3,0.8812856674194336,1.1696586608886719,1.4678581953048706,-0.6898026466369629,-0.6789970993995667,-0.0023197592236101627,-0.25125670433044434
2,2144,3,0.8311371207237244,1.1558609008789062,1.5074342489242554,-0.687201976776123,-0.6775079965591431,-0.008424119092524052,-0.262040913105011
2,2244,3,0.33736059069633484,1.1762163639068604,1.305521845817566,-0.6507173180580139,-0.7245370149612427,0.12599673867225647,-0.18904513120651245
3,3446,3,0.6088946461677551,1.1715470552444458,1.2868479490280151,-0.40153348445892334,-0.6256821155548096,0.5498083233833313,0.3807933032512665
3,3546,3,0.846548855304718,1.16646146774292,1.3433266878128052,-0.6510998606681824,-0.7239111661911011,0.21858416497707367,-0.06513544917106628
3,3646,3,0.7055896520614624,1.1658293008804321,1.388947606086731,-0.6368871927261353,-0.7442525029182434,0.16490375995635986,-0.11519431322813034
3,3746,3,0.19992096722126007,1.1450834274291992,1.4917610883712769,-0.6350640654563904,-0.7458912134170532,0.17419511079788208,-0.09997975826263428
4,4972,3,0.599082887172699,1.1747204065322876,1.4648467302322388,-0.3022151291370392,-0.5319580435752869,0.61794114112854,0.4937970042228699
4,5072,3,0.8086627125740051,1.1733150482177734,1.4417059421539307,-0.5832428932189941,-0.730975866317749,0.3414386212825775,0.09445478767156601
4,5172,3,0.7374051213264465,1.1637119054794312,1.5053929090499878,-0.6427060961723328,-0.7283502221107483,0.21776962280273438,-0.09492839127779007
4,5272,3,0.32233211398124695,1.1427875757217407,1.8269025087356567,-0.6341071724891663,-0.7452883124351501,0.19795089960098267,-0.057173989713191986
5,6540,3,0.5252068638801575,1.167033076286316,1.9480637311935425,0.4341104030609131,0.2783145606517792,0.5261304974555969,0.6762217879295349
5,6640,3,0.9093645811080933,1.1710691452026367,1.7403212785720825,0.6490151286125183,0.6261016726493835,0.122493214905262,0.4144534170627594
5,6740,3,0.8138130307197571,1.1663070917129517,1.4587302207946777,0.6889639496803284,0.6880410313606262,-0.03235742077231407,0.22556887567043304
5,6840,3,0.6037664413452148,1.16757071018219,1.2677199840545654,0.6229932904243469,0.7511293292045593,-0.13956333696842194,0.1679472178220749
6,8111,3,0.4368830621242523,1.1655632257461548,1.9751250743865967,-0.4628720283508301,-0.3166089653968811,-0.49840351939201355,-0.6611371636390686
6,8211,3,0.8820425271987915,1.1702954769134521,1.8096507787704468,-0.6702336668968201,-0.6725605130195618,-0.005198497325181961,-0.31372329592704773
6,8311,3,0.7923612594604492,1.1561259031295776,1.8182027339935303,-0.685347855091095,-0.707036554813385,0.09018644690513611,-0.1492113322019577
6,8411,3,0.4273868501186371,1.1584006547927856,1.6837031841278076,-0.6503735184669495,-0.7149686813354492,0.04646981135010719,-0.2523384988307953
7,9601,3,0.49631989002227783,1.1655957698822021,1.4040278196334839,-0.2731614112854004,-0.5020467042922974,0.6375815272331238,0.5165478587150574
7,9701,3,0.6004183292388916,1.1682909727096558,1.5637385845184326,-0.5764222741127014,-0.7296562790870667,0.3564092218875885,0.09116848558187485
7,9801,3,0.35954657196998596,1.1619312763214111,1.7587169408798218,-0.6394242644309998,-0.7339280843734741,0.22587448358535767,-0.03830207139253616
7,9901,3,0.048369452357292175,1.1533308029174805,1.8783960342407227,-0.6240967512130737,-0.7568901181221008,0.17494510114192963,-0.08375436067581177
8,11044,3,0.36960694193840027,1.1611833572387695,1.6671308279037476,0.5784918665885925,0.46910902857780457,0.37296169996261597,0.5533385872840881
8,11144,3,0.596838653087616,1.1715832948684692,1.2924833297729492,0.6553395390510559,0.7124266028404236,-0.10480067133903503,0.22802479565143585
