experiment_id,trial,machine,win
1744221378,0,2,True
1744221378,1,3,False
1744221378,2,2,False
1744221378,3,0,False
1744221378,4,2,False
1744221378,5,1,False
1744221378,6,3,True
1744221378,7,3,False
1744221378,8,3,False
1744221378,9,0,True
1744221378,10,0,False
1744221378,11,1,False
1744221378,12,3,False
1744221378,13,1,False
1744221378,14,1,False
1744221378,15,2,True
1744221378,16,2,False
1744221378,17,0,True
1744221378,18,0,True
1744221378,19,0,False
1744221378,20,1,True
1744221378,21,2,True
1744221378,22,1,False
1744221378,23,2,True
1744221378,24,2,True
1744221378,25,2,False
1744221378,26,1,True
1744221378,27,2,True
1744221378,28,0,False
1744221378,29,2,True
